edge_id,source,target,length,highway_type
330,26272945,26272883,80.74692839247922,residential
331,26272945,243441742,308.91857701262285,residential
332,26281437,243441747,100.28484361665554,residential
333,26281437,26281455,153.73850598351325,residential
334,26281437,26272885,67.08106417968479,residential
335,26281455,4778472647,72.77842511073985,residential
336,26281455,26281437,153.73850598351325,residential
337,26281455,4778472643,72.38632443938963,residential
338,26281502,8292586444,71.5845244673889,residential
339,26281502,26281535,131.41396930428348,residential
340,26281535,26281502,269.89166360882587,residential
341,26281535,26281502,131.41396930428348,residential
342,26281535,27485077,130.48679175949025,residential
343,26285834,32619010,102.33271616204816,tertiary
344,26285834,60094535,33.17078657597975,tertiary
345,26285834,60094496,112.11132874128538,tertiary
346,26365520,25007657,251.94219706256294,secondary
347,26365520,32518966,264.74774562058155,secondary
348,26365520,32518656,92.19798614847772,residential
349,26365520,2616024491,103.98111647003257,residential
350,26504493,1085293670,135.24888475877586,residential
351,26504493,1323146858,90.8301824794534,primary
352,26504493,1148321374,133.92127471637858,primary
353,26504574,1341011022,158.645884479727,primary_link
354,26504574,1081489154,346.9294435871171,trunk_link
355,26504597,8480873896,7.496174751327445,primary
356,26504597,1327331597,300.5275157325609,tertiary
357,26504597,1327337479,35.18649511506844,primary
358,26504623,767059625,10.628798776865391,tertiary
359,26504623,246782538,86.20891969045888,tertiary
360,26504623,6328480697,165.98127226350724,secondary
361,26504625,1489439082,85.29959194987165,primary
362,26504630,12050009320,17.92019385860426,primary_link
363,26504630,5126916737,339.13404267238656,motorway_link
364,26506280,206873951,14.103325477565317,tertiary
365,26506280,206874009,164.8209284038888,primary
366,26580561,1116653139,59.887666057366296,secondary
367,26580561,5499496434,218.47593309487775,residential
368,26580561,4208396805,84.17375894922314,secondary
369,26580617,60451320,25.732228886044823,primary
370,26580617,331136711,250.69348247479388,primary_link
371,26647626,12115524128,229.15115294135643,primary
372,26647626,686224377,134.954806421925,secondary
373,26647660,1149126607,48.96729446027968,tertiary
374,26647660,1149126568,121.47149213885422,tertiary
375,26647660,7257055652,52.95201836083867,tertiary
376,26647683,40813569,10.682083528034733,tertiary
377,26647683,40820737,227.4170994958044,secondary
378,26647683,32096070,47.71743946452154,tertiary
379,26647705,8371178545,8.406936323591362,tertiary
380,26647705,32618859,70.45391125880141,tertiary
381,26647705,6660103895,81.51433401443184,residential
382,26664641,8314805416,88.99903529744473,residential
383,26664641,8314891531,126.94904458776048,primary
384,26664641,261685525,8.034126127905235,residential
385,26664668,220017228,9.078719113502535,tertiary
386,26664668,2445857766,70.06406778726928,primary
387,26664668,253184961,99.5779195239885,tertiary
388,26664758,8366837637,16.076583541885142,residential
389,26664758,26664759,209.51562529606943,primary
390,26664759,72686847,14.857313165510956,primary
391,26664759,241896337,75.75865610398778,tertiary
392,26664778,8314624074,8.395803806996732,primary
393,26664785,8382983762,15.78188104307706,secondary
394,26664785,12120909801,94.82009033163838,primary
395,26831941,249226697,57.31942956107096,tertiary
396,26831941,747150841,36.339169483540516,tertiary
397,26831941,246782810,282.9646766716994,tertiary
398,26831982,60979991,70.60810575615362,residential
399,26831982,249227027,165.4034965398546,tertiary
400,26831982,2517143747,177.81214911918457,tertiary
401,26831985,246781794,98.48296286742992,residential
402,26831985,246782538,63.46092348650053,tertiary
403,26831985,245864747,147.61778762265067,tertiary
404,26831988,2757903381,168.25449953686166,tertiary
405,26831988,249227027,255.06336489262236,tertiary
406,26831988,249226753,38.7337469554939,secondary
407,26831988,203263778,75.77150794048593,secondary
408,26831993,245865439,66.09430328389833,tertiary
409,26831993,219734585,68.41267892681645,tertiary
410,26831993,219732125,231.97065112845908,residential
411,26832002,767059660,10.872784745234947,secondary
412,26832002,245865214,81.23169390366677,secondary
413,26832002,219725819,276.9058504842959,secondary
414,26832095,764098855,11.848970972509589,secondary
415,26832095,249226753,162.01790850209554,secondary
416,26832095,245864761,323.59621956657486,primary
417,27485077,8313669185,71.2335062178376,residential
418,27485077,12120317517,9.293451936539954,residential
419,27485077,26281535,130.48679175949025,residential
420,27485077,4538962863,123.667966093697,residential
421,29025065,433178870,112.6977920063133,unclassified
422,29025065,5832237785,144.94483868996886,unclassified
423,29025065,5452582524,29.38348114843298,unclassified
424,29025439,5446811375,136.49347000864603,tertiary
425,29025708,17216442,17.602234351357946,residential
426,29025708,29025439,213.1465615578212,tertiary
427,29025708,30763205,203.95444846316454,unclassified
428,29025724,5941632467,338.71810251662896,tertiary
429,29025724,5766134850,407.0656207607559,secondary
430,29025724,24265131,17.837297542324738,secondary
431,29098405,24078516,61.32708348782247,primary
432,29098405,88772903,16.516519400112063,primary
433,29487872,8267456152,22.268146980696965,tertiary
434,29487872,96446800,66.58761751920355,tertiary
435,29487872,130166696,230.72065085564662,residential
436,29500569,25353129,32.04525475661753,primary
437,29500569,12029284636,56.301500795133165,primary
438,29500573,17216497,141.51959242539235,residential
439,29500573,1723200988,58.42699298073218,primary
440,29523876,523958868,12.395352801014313,primary
441,29523876,8377494102,47.58983487069713,primary
442,29553506,206873938,92.69588834811695,secondary
443,29553506,29583600,74.39790367347364,secondary
444,29553506,245864671,414.46366812901783,residential
445,29583478,5397797589,14.740888983569986,tertiary
446,29583478,3598239136,66.48733551228466,residential
447,29583600,1235428578,98.63402615775748,residential
448,29583600,29553506,74.39790367347365,secondary
449,29583600,767059660,85.1923874301276,secondary
450,29583600,245864664,379.0275444396079,residential
451,29670456,24651214,31.428768806650528,primary
452,29670458,12067407,5.908307799171943,primary
453,29670458,61090318,26.883295157405808,tertiary
454,30105558,174583873,292.8782463431811,primary
455,30763089,1422671929,156.50884325734026,unclassified
456,30763089,30763118,221.11676285948775,unclassified
457,30763089,26082614,105.29602237758516,unclassified
458,30763092,26082644,138.86924654468595,residential
459,30763092,1130535501,32.40227596916809,residential
460,30763092,1130535525,31.412611151800604,residential
461,30763092,30763095,95.92566236618651,residential
462,30763093,1130535501,27.86774918318984,residential
463,30763093,11436723284,194.39077576652886,residential
464,30763094,1130535683,28.73949583333086,residential
465,30763094,30763093,87.38366716981751,residential
466,30763094,1130535479,37.788222116616666,residential
467,30763094,8317711679,58.87605430274177,residential
468,30763095,1130535913,25.639712050025782,residential
469,30763095,5499329527,2.595865576647346,residential
470,30763095,30763092,95.92566236618651,residential
471,30763097,8317769841,7.023125531962959,residential
472,30763097,9468105764,33.66542609967515,residential
473,30763097,1130535837,110.00692329252531,residential
474,30763114,30763185,197.0376272331479,unclassified
475,30763114,4324757103,327.8871067244638,unclassified
476,30763114,30763215,600.1707329618409,unclassified
477,30763114,17216429,153.21850366374,unclassified
478,30763115,30763242,39.72122618369099,residential
479,30763115,26082684,119.53636840002935,unclassified
480,30763115,30763116,106.26567243133046,unclassified
481,30763116,33625122,15.491254996467593,unclassified
482,30763116,30763089,208.80303905822885,unclassified
483,30763116,30763115,106.26567243133047,unclassified
484,30763118,30763089,221.1167628594878,unclassified
485,30763118,26082617,158.19328251509307,unclassified
486,30763118,30763151,174.75256966124965,unclassified
487,30763118,30763150,189.8754785327531,unclassified
488,30763124,30763135,75.86229371982297,residential
489,30763124,30764650,31.260001096519403,residential
490,30763124,30763148,181.86765148552695,residential
491,30763124,30763129,208.34430127024297,residential
492,30763125,30764650,37.393202640918595,residential
493,30763125,338421121,12.075790884084324,residential
494,30763126,30763129,69.8522040677321,residential
495,30763126,30763125,209.85968349303354,residential
496,30763129,30763126,69.8522040677321,residential
497,30763129,30763133,121.81027367576904,residential
498,30763129,30763124,208.34430127024297,residential
499,30763133,30763137,88.73323688488212,residential
500,30763133,1629353724,149.484800003045,residential
501,30763133,30763129,121.81027367576905,residential
502,30763133,30763168,78.19937837793478,residential
503,30763135,1629353724,25.698724394522536,residential
504,30763135,30763124,75.86229371982297,residential
505,30763135,30763162,185.32633302690562,residential
506,30763136,30763137,145.8762253124018,residential
