sequential_id,osm_id
441,32476435
442,32476440
443,32476441
444,32476442
445,32476443
446,32476444
447,32476445
448,32476446
449,32476447
450,32476450
451,32476451
452,32476453
453,32476454
454,32476455
455,32476456
456,32476457
457,32476459
458,32476460
459,32476461
460,32476462
461,32476465
462,32476467
463,32518545
464,32518656
465,32518919
466,32518950
467,32518961
468,32518963
469,32518966
470,32518973
471,32519074
472,32519077
473,32519125
474,32519126
475,32519127
476,32519175
477,32519176
478,32519283
479,32519344
480,32519348
481,32519350
482,32519351
483,32519353
484,32519354
485,32519357
486,32519358
487,32519365
488,32519396
489,32519416
490,32519675
491,32520021
492,32520022
493,32520023
494,32520025
495,32520145
496,32520188
497,32569985
498,32569986
499,32618848
500,32618849
501,32618855
502,32618856
503,32618857
504,32618859
505,32618860
506,32618884
507,32618886
508,32618887
509,32618888
510,32618893
511,32618894
512,32618898
513,32618908
514,32618910
515,32618918
516,32618928
517,32618931
518,32618933
519,32618940
520,32618943
521,32618945
522,32618949
523,32618957
524,32618959
525,32618962
526,32618964
527,32618966
528,32618968
529,32618969
530,32618970
531,32618975
532,32618978
533,32618979
534,32618980
535,32618981
536,32618983
537,32618984
538,32618986
539,32618987
540,32618991
541,32618992
542,32618995
543,32618997
544,32618998
545,32618999
546,32619005
547,32619007
548,32619008
549,32619009
550,32619010
551,32619015
552,32619018
553,32619021
554,32619022
555,32619023
556,32619024
557,32619025
558,32619027
559,32619030
560,32619031
561,32619032
562,32619034
563,32619037
564,32619043
565,32619044
566,32928343
567,32928345
568,32928347
569,32928350
570,32928351
571,32928353
572,32928478
573,32928484
574,32928490
575,32928501
576,32928504
577,32928505
578,32928521
579,32928528
580,32928530
581,32928556
582,32928557
583,32928560
584,32928562
585,32928564
586,32928565
587,32928567
588,32928713
589,32928714
590,32928716
591,32928720
592,32928721
593,32928727
594,32928734
595,32928735
596,32928746
597,32928749
598,32928958
599,32928959
600,32928961
601,32928962
602,32928963
603,32928967
604,32928969
605,32928970
606,32928989
607,32928990
608,32929000
609,32929004
610,32929006
611,32929011
612,32929013
613,32929017
614,32929018
615,32929021
616,32929025
617,32929027
618,32929029
619,32929031
620,32929042
621,32929043
622,32929047
623,32929062
624,32929090
625,32929098
626,32929101
627,32929112
628,32929343
629,32929344
630,32929345
631,32929346
632,32929348
633,32929351
634,32929352
635,32929357
636,32929358
637,32929359
638,32929372
639,32929373
640,32929374
